DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,Action,Moving_Average,Exponential_Moving_Average,Return_Rate
20150608,2801.0,2850.0,2739.0,2764.0,4161196,2883.0,1.0,2920.285714285714,2931.3622002354978,-0.04127644814429414
20150609,2626.0,2627.0,2626.0,2626.0,6784417,2764.0,1.0,2883.285714285714,2870.2897601883988,-0.049927641099855286
20150610,2626.0,2721.0,2580.0,2618.0,6172915,2626.0,1.0,2844.0,2821.431808150719,-0.0030464584920030465
20150613,2658.0,2680.0,2581.0,2614.0,5919427,2618.0,1.0,2802.285714285714,2788.745446520575,-0.0015278838808250573
20150614,2620.0,2687.0,2590.0,2632.0,4464743,2614.0,1.0,2761.4285714285716,2754.99635721646,0.006885998469778117
20150615,2591.0,2591.0,2501.0,2506.0,11426997,2632.0,1.0,2700.1428571428573,2722.1970857731685,-0.047872340425531915
20150616,2530.0,2597.0,2470.0,2542.0,3724719,2506.0,1.0,2636.0,2683.757668618535,0.014365522745411013
20150617,2590.0,2669.0,2590.0,2660.0,6830542,2542.0,1.0,2605.8571428571427,2665.006134894828,0.046420141620771044
20150620,2699.0,2754.0,2541.0,2645.0,4898874,2660.0,1.0,2616.285714285714,2671.8049079158627,-0.005639097744360902
20150621,2600.0,2686.0,2555.0,2607.0,3170132,2645.0,1.0,2612.5714285714284,2657.4439263326904,-0.014366729678638942
20150622,2626.0,2727.0,2565.0,2669.0,5404038,2607.0,1.0,2608.0,2651.1551410661523,0.023782125047947834
20150623,2770.0,2775.0,2701.0,2752.0,7012540,2669.0,1.0,2629.4285714285716,2674.924112852922,0.031097789434245036
20150624,2750.0,2789.0,2616.0,2672.0,6457315,2752.0,1.0,2652.1428571428573,2689.939290282338,-0.029069767441860465
20150627,2668.0,2668.0,2560.0,2602.0,4608694,2672.0,1.0,2671.8571428571427,2685.5514322258705,-0.02619760479041916
20150628,2637.0,2637.0,2502.0,2532.0,3238577,2602.0,1.0,2678.5714285714284,2675.8411457806965,-0.026902382782475018
20150629,2502.0,2619.0,2502.0,2552.0,2169545,2532.0,1.0,2650.4285714285716,2641.0729166245574,0.007898894154818325
20150630,2590.0,2650.0,2560.0,2614.0,5860529,2552.0,1.0,2649.0,2630.858333299646,0.024294670846394983
20150701,2639.0,2655.0,2502.0,2551.0,9739078,2614.0,1.0,2650.8571428571427,2632.486666639717,-0.02410099464422341
20150707,2678.0,2678.0,2640.0,2672.0,6774055,2551.0,1.0,2637.714285714286,2641.5893333117738,0.047432379459035674
20150711,2681.0,2728.0,2570.0,2688.0,5867933,2672.0,1.0,2627.8571428571427,2649.471466649419,0.005988023952095809
20150712,2739.0,2799.0,2700.0,2755.0,5158880,2688.0,1.0,2638.0,2667.377173319536,0.02492559523809524
20150713,2840.0,2892.0,2803.0,2878.0,8024222,2755.0,1.0,2667.0,2701.901738655629,0.044646098003629765
20150714,2998.0,2998.0,2761.0,2864.0,7787518,2878.0,1.0,2737.8571428571427,2761.121390924503,-0.004864489228630994
20150715,2841.0,2842.0,2721.0,2750.0,2617799,2864.0,1.0,2773.714285714286,2777.0971127396024,-0.039804469273743016
20150720,2621.0,2650.0,2613.0,2615.0,4893539,2750.0,1.0,2771.1428571428573,2745.8776901916817,-0.04909090909090909
20150726,2500.0,2550.0,2400.0,2491.0,5901356,2493.0,1.0,2745.714285714286,2696.7021521533457,-0.0008022462896109105
20150727,2510.0,2548.0,2450.0,2485.0,2794902,2491.0,1.0,2721.285714285714,2659.3617217226765,-0.0024086712163789645
20150728,2450.0,2541.0,2450.0,2503.0,2365732,2485.0,1.0,2680.0,2617.4893773781414,0.007243460764587525
20150729,2538.0,2540.0,2471.0,2496.0,2978802,2503.0,1.0,2636.8571428571427,2601.5915019025133,-0.002796644027167399
20150801,2470.0,2543.0,2470.0,2492.0,2544175,2496.0,1.0,2561.4285714285716,2575.273201522011,-0.0016025641025641025
20150802,2456.0,2555.0,2440.0,2513.0,4783796,2492.0,1.0,2506.4285714285716,2551.418561217609,0.008426966292134831
20150803,2519.0,2548.0,2470.0,2502.0,1804920,2513.0,1.0,2491.8571428571427,2544.9348489740873,-0.004377238360525269
20150804,2480.0,2490.0,2441.0,2461.0,1742203,2502.0,1.0,2489.0,2531.94787917927,-0.016386890487609912
20150805,2537.0,2584.0,2520.0,2558.0,7887504,2461.0,1.0,2492.8571428571427,2532.958303343416,0.03941487200325071
20150808,2624.0,2660.0,2550.0,2598.0,5144366,2558.0,1.0,2517.714285714286,2551.166642674733,0.01563721657544957
20150809,2600.0,2600.0,2511.0,2538.0,1831401,2598.0,1.0,2526.5714285714284,2560.9333141397865,-0.023094688221709007
20150810,2562.0,2562.0,2497.0,2504.0,2992275,2538.0,1.0,2539.714285714286,2561.1466513118294,-0.013396375098502758
20150812,2551.0,2551.0,2480.0,2494.0,1148299,2504.0,1.0,2553.285714285714,2559.1173210494635,-0.003993610223642172
20150815,2475.0,2490.0,2411.0,2443.0,1376368,2494.0,1.0,2547.0,2542.293856839571,-0.02044907778668805
20150816,2442.0,2470.0,2406.0,2436.0,1336459,2443.0,1.0,2541.5714285714284,2522.235085471657,-0.0028653295128939827
20150817,2411.0,2435.0,2360.0,2379.0,2516006,2436.0,1.0,2523.5714285714284,2499.9880683773254,-0.023399014778325122
20150818,2400.0,2400.0,2322.0,2355.0,1683904,2379.0,1.0,2491.5714285714284,2479.9904547018605,-0.01008827238335435
20150819,2355.0,2400.0,2300.0,2380.0,1152789,2355.0,1.0,2456.5714285714284,2454.9923637614884,0.010615711252653927
20150822,2385.0,2385.0,2297.0,2325.0,2796055,2380.0,1.0,2431.285714285714,2440.9938910091905,-0.023109243697478993
20150823,2291.0,2349.0,2280.0,2307.0,1801107,2325.0,1.0,2394.1428571428573,2410.9951128073526,-0.007741935483870968
20150824,2291.0,2319.0,2281.0,2291.0,1498467,2307.0,1.0,2367.8571428571427,2386.9960902458824,-0.006935413957520589
20150825,2290.0,2291.0,2177.0,2195.0,2816310,2291.0,1.0,2346.1428571428573,2367.596872196706,-0.041903099083369706
20150826,2150.0,2210.0,2100.0,2146.0,3104857,2195.0,1.0,2308.8571428571427,2324.0774977573647,-0.02232346241457859
20150829,2185.0,2253.0,2170.0,2238.0,3563762,2146.0,1.0,2278.1428571428573,2296.261998205892,0.04287045666356011
20150830,2242.0,2269.0,2166.0,2215.0,1609355,2238.0,1.0,2262.0,2285.4095985647136,-0.010277033065236819
20150831,2180.0,2222.0,2140.0,2175.0,1253933,2215.0,1.0,2232.714285714286,2264.327678851771,-0.01805869074492099
20150901,2219.0,2220.0,2175.0,2197.0,1159394,2175.0,1.0,2222.4285714285716,2255.262143081417,0.010114942528735632
20150902,2180.0,2239.0,2175.0,2191.0,1166677,2197.0,1.0,2206.5714285714284,2240.2097144651334,-0.0027309968138370506
20150905,2240.0,2268.0,2204.0,2236.0,1149243,2191.0,1.0,2199.4285714285716,2240.167771572107,0.020538566864445457
20150906,2242.0,2242.0,2165.0,2187.0,1519504,2236.0,1.0,2212.5714285714284,2240.5342172576857,-0.02191413237924866
20150907,2160.0,2188.0,2150.0,2166.0,1228355,2187.0,1.0,2209.0,2224.4273738061484,-0.009602194787379973
20150908,2181.0,2197.0,2158.0,2168.0,792806,2166.0,1.0,2200.285714285714,2215.7418990449187,0.0009233610341643582
20150909,2170.0,2250.0,2150.0,2205.0,1561334,2168.0,1.0,2198.8571428571427,2206.5935192359348,0.017066420664206643
20150912,2265.0,2265.0,2161.0,2188.0,1236041,2205.0,1.0,2205.4285714285716,2218.274815388748,-0.007709750566893424
20150913,2163.0,2163.0,2079.0,2100.0,3177854,2188.0,1.0,2203.0,2207.2198523109982,-0.04021937842778794
20150914,2138.0,2138.0,2085.0,2100.0,933753,2100.0,1.0,2188.4285714285716,2193.3758818487986,0.0
20150915,2100.0,2100.0,2010.0,2051.0,2185604,2100.0,1.0,2168.1428571428573,2174.7007054790392,-0.023333333333333334
20150916,2050.0,2094.0,2004.0,2030.0,2517132,2051.0,1.0,2152.4285714285716,2149.760564383231,-0.010238907849829351
20150919,2066.0,2097.0,2001.0,2042.0,2055610,2030.0,1.0,2136.0,2133.008451506585,0.005911330049261084
20150920,2014.0,2014.0,1940.0,1956.0,3647301,2042.0,1.0,2113.714285714286,2109.2067612052683,-0.04211557296767875
20150921,1950.0,1965.0,1859.0,1913.0,2239247,1956.0,1.0,2068.714285714286,2077.365408964215,-0.02198364008179959
20150922,1974.0,2000.0,1921.0,1966.0,1334729,1913.0,1.0,2041.7142857142858,2056.692327171372,0.02770517511761631
20150923,1988.0,2064.0,1970.0,2055.0,2460112,1966.0,1.0,2020.2857142857142,2042.9538617370977,0.045269582909460836
20150926,2034.0,2034.0,1970.0,1997.0,1704846,2055.0,1.0,2010.857142857143,2041.1630893896781,-0.028223844282238442
20150927,2004.0,2019.0,1957.0,1987.0,1786859,1997.0,1.0,2004.2857142857142,2033.7304715117425,-0.005007511266900351
20150928,1970.0,2015.0,1966.0,1990.0,2051580,1987.0,1.0,1990.5714285714287,2020.984377209394,0.001509813789632612
20150929,1960.0,2000.0,1960.0,1974.0,392350,1990.0,1.0,1982.857142857143,2008.7875017675153,-0.008040201005025126
20150930,1970.0,1990.0,1943.0,1955.0,707948,1974.0,1.0,1985.7142857142858,2001.0300014140123,-0.009625126646403243
20151003,1940.0,1950.0,1858.0,1887.0,2545073,1955.0,1.0,1980.857142857143,1988.82400113121,-0.034782608695652174
20151004,1876.0,1899.0,1802.0,1873.0,2537434,1887.0,1.0,1964.857142857143,1966.259200904968,-0.007419183889772125
20151005,1862.0,1919.0,1862.0,1888.0,1462294,1873.0,1.0,1940.2857142857142,1945.4073607239748,0.00800854244527496
20151006,1890.0,1915.0,1855.0,1879.0,1276870,1888.0,1.0,1924.0,1934.32588857918,-0.004766949152542373
20151007,1861.0,1955.0,1850.0,1916.0,3807916,1879.0,1.0,1908.4285714285713,1919.660710863344,0.019691325172964343
20151010,1922.0,1948.0,1840.0,1870.0,1922621,1916.0,1.0,1903.0,1920.1285686906754,-0.024008350730688934
20151011,1860.0,1884.0,1837.0,1853.0,1463196,1870.0,1.0,1887.2857142857142,1908.1028549525404,-0.00909090909090909
20151012,1878.0,1897.0,1842.0,1859.0,785446,1853.0,1.0,1878.4285714285713,1902.0822839620323,0.0032379924446842958
20151013,1869.0,1940.0,1851.0,1906.0,1496539,1859.0,1.0,1877.4285714285713,1895.465827169626,0.025282409897794515
20151014,1961.0,1999.0,1902.0,1967.0,3521644,1906.0,1.0,1891.5714285714287,1908.5726617357009,0.032004197271773345
20151017,1950.0,2065.0,1942.0,2037.0,5786097,1967.0,1.0,1900.142857142857,1916.8581293885609,0.03558718861209965
20151018,2138.0,2138.0,2041.0,2110.0,7521252,2037.0,1.0,1939.7142857142858,1961.0865035108486,0.035837015218458515
20151019,2070.0,2128.0,2005.0,2067.0,2682538,2110.0,1.0,1960.857142857143,1982.869202808679,-0.02037914691943128
20151020,2055.0,2170.0,2026.0,2157.0,9557050,2067.0,1.0,1988.7142857142858,1997.2953622469431,0.04354136429608128
20151021,2178.0,2206.0,2150.0,2170.0,4600504,2157.0,1.0,2031.5714285714287,2033.4362897975548,0.00602688919796013
20151025,2150.0,2150.0,2062.0,2070.0,4508946,2170.0,1.0,2071.714285714286,2056.749031838044,-0.04608294930875576
20151026,2024.0,2098.0,2022.0,2077.0,1752450,2070.0,1.0,2080.714285714286,2050.1992254704355,0.003381642512077295
20151027,2105.0,2148.0,2070.0,2109.0,2054842,2077.0,1.0,2102.8571428571427,2061.1593803763485,0.015406836783822821
20151028,2130.0,2130.0,2057.0,2071.0,849605,2109.0,1.0,2101.714285714286,2074.927504301079,-0.018018018018018018
20151031,2040.0,2095.0,2040.0,2066.0,1121321,2071.0,1.0,2097.4285714285716,2067.942003440863,-0.0024142926122646064
20151101,2076.0,2095.0,2050.0,2072.0,2734952,2066.0,1.0,2100.4285714285716,2069.5536027526905,0.002904162633107454
20151102,2051.0,2079.0,2046.0,2058.0,2476568,2072.0,1.0,2082.285714285714,2065.8428822021524,-0.006756756756756757
20151103,2044.0,2130.0,2030.0,2105.0,3014988,2058.0,1.0,2067.1428571428573,2061.474305761722,0.0228377065111759
20151104,2138.0,2150.0,2100.0,2121.0,4627703,2105.0,1.0,2083.4285714285716,2076.7794446093776,0.007600950118764846
20151107,2103.0,2109.0,2052.0,2083.0,3058673,2121.0,1.0,2083.1428571428573,2082.0235556875023,-0.017916077322017915
20151108,2099.0,2133.0,2083.0,2117.0,3321114,2083.0,1.0,2078.714285714286,2085.418844550002,0.01632261161785886
20151109,2091.0,2130.0,2072.0,2088.0,935178,2117.0,1.0,2086.0,2086.535075640002,-0.0136986301369863
20151110,2080.0,2130.0,2080.0,2103.0,2228808,2088.0,1.0,2086.5714285714284,2085.228060512002,0.007183908045977011
20151111,2119.0,2119.0,2057.0,2062.0,2315759,2103.0,1.0,2096.285714285714,2091.9824484096016,-0.019495958155016643
20151114,2050.0,2090.0,2035.0,2044.0,1627794,2062.0,1.0,2097.1428571428573,2083.5859587276814,-0.008729388942774006
20151115,2030.0,2069.0,2020.0,2040.0,1024203,2044.0,1.0,2081.714285714286,2072.868766982145,-0.0019569471624266144
20151116,2023.0,2063.0,2012.0,2030.0,1264296,2040.0,1.0,2070.285714285714,2062.8950135857162,-0.004901960784313725
20151117,2015.0,2028.0,1960.0,1990.0,2462190,2030.0,1.0,2058.285714285714,2053.3160108685734,-0.019704433497536946
